tissue_sample_id,communication_celltype,n_cells,dataset,donor,donor_ID,status,n_total_cells,n_tissue_samples_same_donor_status,fraction,meets_min_cells,coverage_status
"GSE134809::GSM3972015::Non-inflamed","T_NK",1369,"GSE134809","GSM3972015","GSE134809::GSM3972015","Non-inflamed",3016,1,0.453912466843501,TRUE,"adequate_cell_count"
"GSE134809::GSM3972016::Inflamed","B_cell::ActB3",37,"GSE134809","GSM3972016","GSE134809::GSM3972016","Inflamed",3899,1,0.00948961272121057,TRUE,"adequate_cell_count"
"GSE134809::GSM3972016::Inflamed","B_cell::CSM",681,"GSE134809","GSM3972016","GSE134809::GSM3972016","Inflamed",3899,1,0.174660169274173,TRUE,"adequate_cell_count"
"GSE134809::GSM3972016::Inflamed","B_cell::Centroblast B",4,"GSE134809","GSM3972016","GSE134809::GSM3972016","Inflamed",3899,1,0.00102590407796871,FALSE,"low_cell_count"
"GSE134809::GSM3972016::Inflamed","B_cell::Centrocyte B",0,"GSE134809","GSM3972016","GSE134809::GSM3972016","Inflamed",3899,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972016::Inflamed","B_cell::DN2",11,"GSE134809","GSM3972016","GSE134809::GSM3972016","Inflamed",3899,1,0.00282123621441395,FALSE,"low_cell_count"
"GSE134809::GSM3972016::Inflamed","B_cell::IgM-only",158,"GSE134809","GSM3972016","GSE134809::GSM3972016","Inflamed",3899,1,0.040523211079764,TRUE,"adequate_cell_count"
"GSE134809::GSM3972016::Inflamed","B_cell::MZ",15,"GSE134809","GSM3972016","GSE134809::GSM3972016","Inflamed",3899,1,0.00384714029238266,FALSE,"low_cell_count"
"GSE134809::GSM3972016::Inflamed","B_cell::Naïve B",782,"GSE134809","GSM3972016","GSE134809::GSM3972016","Inflamed",3899,1,0.200564247242883,TRUE,"adequate_cell_count"
"GSE134809::GSM3972016::Inflamed","Endothelial",61,"GSE134809","GSM3972016","GSE134809::GSM3972016","Inflamed",3899,1,0.0156450371890228,TRUE,"adequate_cell_count"
